,icc,pval
wavelet-HHL_ngtdm_Coarseness,0.8994002147981967,0.06548145413398743
wavelet-HHL_ngtdm_Contrast,0.8759567386336761,0.07722577452659607
wavelet-HLH_firstorder_10Percentile,0.7775807920240202,0.8965883553028107
wavelet-HLH_firstorder_90Percentile,0.8794549745387223,0.9153143465518951
wavelet-HLH_firstorder_Entropy,0.8264811898642285,0.8407831341028214
wavelet-HLH_firstorder_InterquartileRange,0.8693666362629181,0.7139776796102524
wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.8559945909528106,0.9340859353542328
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.8627230873897431,0.9340859353542328
wavelet-HLH_firstorder_RootMeanSquared,0.8394210092543675,0.8407831341028214
wavelet-HLH_firstorder_Uniformity,0.7913611389904014,0.5619325190782547
wavelet-HLH_firstorder_Variance,0.8283884831653271,0.7495975196361542
wavelet-HLH_glcm_ClusterTendency,0.8297993249621383,0.5780609846115112
wavelet-HLH_glcm_Contrast,0.8139202821273531,0.6616804599761963
wavelet-HLH_glcm_DifferenceAverage,0.848361625884195,0.8779177963733673
wavelet-HLH_glcm_DifferenceEntropy,0.8348297013335914,0.9717257022857666
wavelet-HLH_glcm_DifferenceVariance,0.7888701086852073,0.6616804599761963
wavelet-HLH_glcm_Id,0.8277348239894337,0.6789510101079941
wavelet-HLH_glcm_Idm,0.817268048605312,0.6109333634376526
wavelet-HLH_glcm_Imc1,0.938852148990703,0.8407831341028214
wavelet-HLH_glcm_Imc2,0.9025215032454802,0.9717257022857666
wavelet-HLH_glcm_InverseVariance,0.8230367746277393,0.7495975196361542
wavelet-HLH_glcm_JointEnergy,0.7567431466198636,0.44104358553886414
wavelet-HLH_glcm_JointEntropy,0.8096891436595878,0.9905734956264496
wavelet-HLH_glcm_SumEntropy,0.8309206989209454,0.9340859353542328
wavelet-HLH_glcm_SumSquares,0.8228020305836189,0.6276643574237823
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.8781935792751376,0.6963860541582108
wavelet-HLH_gldm_DependenceVariance,0.799082181077954,0.1348898708820343
wavelet-HLH_gldm_GrayLevelVariance,0.8311957137352973,0.7495975196361542
wavelet-HLH_gldm_LargeDependenceEmphasis,0.8240250325343859,0.15513363480567932
wavelet-HLH_gldm_SmallDependenceEmphasis,0.8778954611304642,0.37350593507289886
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.7725493101861783,0.5148514956235886
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.7900613376120856,0.6616804599761963
wavelet-HLH_glrlm_GrayLevelVariance,0.8289190138336439,0.7317177355289459
wavelet-HLH_glrlm_LongRunEmphasis,0.8393888789804825,0.1854744255542755
wavelet-HLH_glrlm_RunEntropy,0.8120802832404344,0.7495975196361542
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.8312616833975297,0.3011907488107681
wavelet-HLH_glrlm_RunPercentage,0.8351990890394706,0.23857179284095764
wavelet-HLH_glrlm_RunVariance,0.8484552948435403,0.15513363480567932
wavelet-HLH_glrlm_ShortRunEmphasis,0.8276712691684649,0.2583710700273514
wavelet-HLH_glszm_GrayLevelVariance,0.7562031694857898,0.7139776796102524
wavelet-HLH_glszm_LargeAreaEmphasis,0.9800486208569507,0.10040661692619324
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.9167001716466471,0.7495975196361542
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.8310090777440687,0.2583710700273514
wavelet-HLH_glszm_SizeZoneNonUniformity,0.8996484402510175,0.05847424268722534
wavelet-HLH_glszm_ZonePercentage,0.8819071623865289,0.5303222090005875
wavelet-HLH_glszm_ZoneVariance,0.9800527439655632,0.10040661692619324
wavelet-HLH_ngtdm_Busyness,0.8727165251936416,0.1854744255542755
wavelet-HLH_ngtdm_Contrast,0.8696590752354018,0.8407831341028214
wavelet-HLH_ngtdm_Strength,0.9333731882295209,0.6789510101079941
wavelet-HLL_firstorder_10Percentile,0.8347865032700363,0.44104358553886414
wavelet-HLL_firstorder_90Percentile,0.7894757077175317,0.3864929676055908
wavelet-HLL_firstorder_InterquartileRange,0.8793619503991315,0.6109333634376526
wavelet-HLL_firstorder_Mean,0.9307101519229654,0.31257040798664093
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.7918243950621253,0.2583710700273514
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.8689440042751093,0.4698396325111389
wavelet-HLL_glcm_Correlation,0.7633522093460844,0.9717257022857666
wavelet-HLL_glcm_DifferenceAverage,0.7996918982568525,0.2686719596385956
wavelet-HLL_glcm_DifferenceEntropy,0.7688842139315977,0.29008127748966217
wavelet-HLL_glcm_Id,0.7898237897978114,0.7676084339618683
wavelet-HLL_glcm_Idm,0.7748929472362708,0.8407831341028214
wavelet-HLL_glcm_Idmn,0.8598906378789657,0.219833105802536
wavelet-HLL_glcm_Idn,0.802442522613847,0.15513363480567932
wavelet-HLL_glcm_Imc1,0.9035392550164469,0.6789510101079941
wavelet-HLL_glcm_Imc2,0.8415226658500401,0.5303222090005875
wavelet-HLL_glcm_InverseVariance,0.7740407012821715,0.8779177963733673
wavelet-HLL_glcm_JointEntropy,0.7749010820411807,0.324220210313797
wavelet-HLL_glcm_SumEntropy,0.759923494742828,0.3483276069164276
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.8567067142589214,0.7676084339618683
wavelet-HLL_gldm_DependenceVariance,0.8390030562096441,0.41325296461582184
wavelet-HLL_gldm_LargeDependenceEmphasis,0.8061690918184165,0.594396710395813
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.7852108682654544,0.5460176914930344
wavelet-HLL_gldm_SmallDependenceEmphasis,0.834641189122549,0.9340859353542328
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.7911191659470447,0.14815247058868408
wavelet-HLL_glrlm_LongRunEmphasis,0.7986724074861788,0.7495975196361542
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.7635523603238147,0.6109333634376526
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.7864653517528157,0.4846055656671524
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.808998245269022,0.7317177355289459
wavelet-HLL_glrlm_RunPercentage,0.8071039082927369,0.6963860541582108
